,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Ballinaclash, Wicklow",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"Ballinagar, Offaly",381,381,381,381,381,381,381,381,420,420,420,420,420,420,420
"Ballinagh, Cavan",675,675,675,675,675,675,675,675,766,766,766,766,766,766,766
"Ballinakill, Laois",430,430,430,430,430,430,430,430,435,435,435,435,435,435,435
"Ballinalack, Westmeath",137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
"Ballinalee, Longford",151,151,151,151,151,151,151,151,308,308,308,308,308,308,308
"Ballinameen, Roscommon",188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
"Ballinamore, Leitrim",805,805,805,805,805,805,805,805,889,889,889,889,889,889,889
"Ballinasloe Legal Town, Galway",6049,6049,6049,6049,6049,6049,6049,6049,6449,6449,6449,6449,6449,6449,6449
"Ballinasloe Environs, Galway and Roscommon",254,254,254,254,254,254,254,254,210,210,210,210,210,210,210
"Ballincar, Sligo",526,526,526,526,526,526,526,526,444,444,444,444,444,444,444
"Ballindine, Mayo",249,249,249,249,249,249,249,249,350,350,350,350,350,350,350
"Ballineen/Enniskean, Cork",646,646,646,646,646,646,646,646,700,700,700,700,700,700,700
"Ballingarry, Limerick",441,441,441,441,441,441,441,441,527,527,527,527,527,527,527
"Ballingarry, South Tipperary",129,129,129,129,129,129,129,129,293,293,293,293,293,293,293
"Ballinlough, Roscommon",262,262,262,262,262,262,262,262,300,300,300,300,300,300,300
"Ballinroad, Waterford",794,794,794,794,794,794,794,794,1097,1097,1097,1097,1097,1097,1097
"Ballinrobe, Mayo",2098,2098,2098,2098,2098,2098,2098,2098,2704,2704,2704,2704,2704,2704,2704
"Ballinspittle, Cork",194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
"Ballintober, Roscommon",137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
"Ballintogher, Sligo",182,182,182,182,182,182,182,182,313,313,313,313,313,313,313
"Ballintra, Donegal",211,211,211,211,211,211,211,211,209,209,209,209,209,209,209
"Ballisodare, Sligo",971,971,971,971,971,971,971,971,1344,1344,1344,1344,1344,1344,1344
"Ballivor, Meath",1212,1212,1212,1212,1212,1212,1212,1212,1727,1727,1727,1727,1727,1727,1727
"Ballon, Carlow",596,596,596,596,596,596,596,596,684,684,684,684,684,684,684
"Ballyagran, Limerick",183,183,183,183,183,183,183,183,190,190,190,190,190,190,190
"Ballybay Legal Town, Monaghan",401,401,401,401,401,401,401,401,298,298,298,298,298,298,298
"Ballybay Environs, Monaghan",816,816,816,816,816,816,816,816,1163,1163,1163,1163,1163,1163,1163
"Ballybofey-Stranorlar, Donegal",4176,4176,4176,4176,4176,4176,4176,4176,4852,4852,4852,4852,4852,4852,4852
"Ballyboghil, Fingal",321,321,321,321,321,321,321,321,352,352,352,352,352,352,352
"Ballybrittas, Laois",331,331,331,331,331,331,331,331,331,331,331,331,331,331,331
"Ballybunion, Kerry",1365,1365,1365,1365,1365,1365,1365,1365,1354,1354,1354,1354,1354,1354,1354
"Ballycanew, Wexford",464,464,464,464,464,464,464,464,502,502,502,502,502,502,502
"Ballycannan, Clare",651,651,651,651,651,651,651,651,646,646,646,646,646,646,646
"Ballycastle, Mayo",215,215,215,215,215,215,215,215,234,234,234,234,234,234,234
"Ballyclerahan, South Tipperary",678,678,678,678,678,678,678,678,807,807,807,807,807,807,807
"Ballyclogh, Cork",177,177,177,177,177,177,177,177,264,264,264,264,264,264,264
"Ballycolla, Laois",127,127,127,127,127,127,127,127,138,138,138,138,138,138,138
"Ballyconnell, Cavan",747,747,747,747,747,747,747,747,1061,1061,1061,1061,1061,1061,1061
"Ballycotton, Cork",412,412,412,412,412,412,412,412,476,476,476,476,476,476,476
"Ballycullane, Wexford",219,219,219,219,219,219,219,219,285,285,285,285,285,285,285
"Ballycumber, Offaly",216,216,216,216,216,216,216,216,219,219,219,219,219,219,219
"Ballydehob, Cork",240,240,240,240,240,240,240,240,271,271,271,271,271,271,271
"Ballydesmond, Cork",191,191,191,191,191,191,191,191,206,206,206,206,206,206,206
"Ballyduff, Kerry",578,578,578,578,578,578,578,578,532,532,532,532,532,532,532
"Ballyedmond, Wexford",116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
"Ballyfarnan, Roscommon",182,182,182,182,182,182,182,182,205,205,205,205,205,205,205
"Ballyforan, Roscommon",172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"Ballygar, Galway",689,689,689,689,689,689,689,689,660,660,660,660,660,660,660
"Ballygarvan, Cork",457,457,457,457,457,457,457,457,540,540,540,540,540,540,540
"Ballygawley, Sligo",186,186,186,186,186,186,186,186,321,321,321,321,321,321,321
