,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Churchtown, Cork",217,217,217,217,217,217,217,217,509,509,509,509,509,509,509
"Cill Charthaigh, Donegal",232,232,232,232,232,232,232,232,248,248,248,248,248,248,248
"Cill Rónáin, Galway",259,259,259,259,259,259,259,259,297,297,297,297,297,297,297
"Clane, Kildare",4968,4968,4968,4968,4968,4968,4968,4968,6702,6702,6702,6702,6702,6702,6702
"Clara, Offaly",3001,3001,3001,3001,3001,3001,3001,3001,3242,3242,3242,3242,3242,3242,3242
"Claremorris, Mayo",2595,2595,2595,2595,2595,2595,2595,2595,3412,3412,3412,3412,3412,3412,3412
"Clarina, Limerick",216,216,216,216,216,216,216,216,275,275,275,275,275,275,275
"Clarinbridge, Galway",257,257,257,257,257,257,257,257,389,389,389,389,389,389,389
"Clashmore, Waterford",224,224,224,224,224,224,224,224,252,252,252,252,252,252,252
"Clifden, Galway",1497,1497,1497,1497,1497,1497,1497,1497,2056,2056,2056,2056,2056,2056,2056
"Cliffoney, Sligo",425,425,425,425,425,425,425,425,483,483,483,483,483,483,483
"Cloghan, Offaly",503,503,503,503,503,503,503,503,612,612,612,612,612,612,612
"Clogh-Chatsworth, Kilkenny",351,351,351,351,351,351,351,351,358,358,358,358,358,358,358
"Clogheen, South Tipperary",509,509,509,509,509,509,509,509,491,491,491,491,491,491,491
"Clogherhead, Louth",1558,1558,1558,1558,1558,1558,1558,1558,1993,1993,1993,1993,1993,1993,1993
"Clonakilty Legal Town, Cork",3745,3745,3745,3745,3745,3745,3745,3745,4000,4000,4000,4000,4000,4000,4000
"Clonakilty Environs, Cork",409,409,409,409,409,409,409,409,721,721,721,721,721,721,721
"Clonard, Meath",347,347,347,347,347,347,347,347,339,339,339,339,339,339,339
"Clonaslee, Laois",501,501,501,501,501,501,501,501,518,518,518,518,518,518,518
"Clonbullogue, Offaly",442,442,442,442,442,442,442,442,422,422,422,422,422,422,422
"Clonee Village, Meath",1000,1000,1000,1000,1000,1000,1000,1000,631,631,631,631,631,631,631
"Clondrohid, Cork",188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
"Clondulane, Cork",333,333,333,333,333,333,333,333,333,333,333,333,333,333,333
"Clonegal, Carlow and Wexford",231,231,231,231,231,231,231,231,245,245,245,245,245,245,245
"Clones Legal Town, Monaghan",1517,1517,1517,1517,1517,1517,1517,1517,1491,1491,1491,1491,1491,1491,1491
"Clones Environs, Monaghan",250,250,250,250,250,250,250,250,270,270,270,270,270,270,270
"Clongeen, Wexford",217,217,217,217,217,217,217,217,280,280,280,280,280,280,280
"Clonlara, Clare",504,504,504,504,504,504,504,504,627,627,627,627,627,627,627
"Clonmany, Donegal",437,437,437,437,437,437,437,437,470,470,470,470,470,470,470
"Clonmel Borough, South Tipperary",15482,15482,15482,15482,15482,15482,15482,15482,15793,15793,15793,15793,15793,15793,15793
"Clonmel Environs, South Tipperary and Waterford",1526,1526,1526,1526,1526,1526,1526,1526,2115,2115,2115,2115,2115,2115,2115
"Clonmellon, Westmeath",547,547,547,547,547,547,547,547,634,634,634,634,634,634,634
"Clonroche, Wexford",356,356,356,356,356,356,356,356,329,329,329,329,329,329,329
"Clontibret, Monaghan",166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
"Clontuskert, Roscommon",193,193,193,193,193,193,193,193,188,188,188,188,188,188,188
"Clonygowan, Offaly",190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"Cloonfad, Roscommon",209,209,209,209,209,209,209,209,285,285,285,285,285,285,285
"Cloughduv, Cork",349,349,349,349,349,349,349,349,350,350,350,350,350,350,350
"Cloughjordan, North Tipperary",394,394,394,394,394,394,394,394,511,511,511,511,511,511,511
"Cloyne, Cork",1095,1095,1095,1095,1095,1095,1095,1095,1562,1562,1562,1562,1562,1562,1562
"Cluain Bú, Galway",306,306,306,306,306,306,306,306,381,381,381,381,381,381,381
"Cnoc na Muirleog, Donegal",346,346,346,346,346,346,346,346,415,415,415,415,415,415,415
"Coachford, Cork",439,439,439,439,439,439,439,439,431,431,431,431,431,431,431
"Cobh Legal Town, Cork",6541,6541,6541,6541,6541,6541,6541,6541,6500,6500,6500,6500,6500,6500,6500
"Cobh Environs, Cork",4762,4762,4762,4762,4762,4762,4762,4762,5847,5847,5847,5847,5847,5847,5847
"Coill Dubh (Blackwood), Kildare",684,684,684,684,684,684,684,684,693,693,693,693,693,693,693
"Collinstown, Westmeath",294,294,294,294,294,294,294,294,336,336,336,336,336,336,336
"Collon, Louth",564,564,564,564,564,564,564,564,814,814,814,814,814,814,814
"Collooney, Sligo",892,892,892,892,892,892,892,892,1369,1369,1369,1369,1369,1369,1369
"Cong, Galway and Mayo",150,150,150,150,150,150,150,150,178,178,178,178,178,178,178
"Conna, Cork",376,376,376,376,376,376,376,376,470,470,470,470,470,470,470
"Convoy, Donegal",1193,1193,1193,1193,1193,1193,1193,1193,1438,1438,1438,1438,1438,1438,1438
"Coolagary, Offaly",365,365,365,365,365,365,365,365,458,458,458,458,458,458,458
"Coolaney, Sligo",208,208,208,208,208,208,208,208,866,866,866,866,866,866,866
"Coolboy, Wicklow",144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
"Coolgreany, Wexford",360,360,360,360,360,360,360,360,370,370,370,370,370,370,370
"Coonagh, Limerick",213,213,213,213,213,213,213,213,222,222,222,222,222,222,222
"Cootehill Legal Town, Cavan",1436,1436,1436,1436,1436,1436,1436,1436,1592,1592,1592,1592,1592,1592,1592
"Cootehill Environs, Cavan",456,456,456,456,456,456,456,456,531,531,531,531,531,531,531
"Cork City, Cork",119418,119418,119418,119418,119418,119418,119418,119418,119230,119230,119230,119230,119230,119230,119230
"Cork Suburbs, Cork",70966,70966,70966,70966,70966,70966,70966,70966,79352,79352,79352,79352,79352,79352,79352
"Corofin, Clare",485,485,485,485,485,485,485,485,689,689,689,689,689,689,689
"Corrofin, Galway",380,380,380,380,380,380,380,380,549,549,549,549,549,549,549
"Courtmacsherry, Cork",244,244,244,244,244,244,244,244,520,520,520,520,520,520,520
"Courtown Harbour, Wexford",1421,1421,1421,1421,1421,1421,1421,1421,2857,2857,2857,2857,2857,2857,2857
"Cratloe, Clare",643,643,643,643,643,643,643,643,674,674,674,674,674,674,674
"Craughwell, Galway",414,414,414,414,414,414,414,414,665,665,665,665,665,665,665
"Creeslough, Donegal",327,327,327,327,327,327,327,327,410,410,410,410,410,410,410
"Croagh, Limerick",222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
"Cromane, Kerry",139,139,139,139,139,139,139,139,115,115,115,115,115,115,115
"Crookstown, Cork",302,302,302,302,302,302,302,302,285,285,285,285,285,285,285
"Croom, Limerick",1045,1045,1045,1045,1045,1045,1045,1045,1157,1157,1157,1157,1157,1157,1157
"Crossakeel, Meath",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
"Crossbarry, Cork",354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
"Crosshaven, Cork",1669,1669,1669,1669,1669,1669,1669,1669,2093,2093,2093,2093,2093,2093,2093
"Crossmolina, Mayo",930,930,930,930,930,930,930,930,1061,1061,1061,1061,1061,1061,1061
"Crusheen, Clare",377,377,377,377,377,377,377,377,467,467,467,467,467,467,467
"Culdaff, Donegal",155,155,155,155,155,155,155,155,264,264,264,264,264,264,264
"Daingean, Offaly",1056,1056,1056,1056,1056,1056,1056,1056,1037,1037,1037,1037,1037,1037,1037
"Danescastle, Wexford",218,218,218,218,218,218,218,218,306,306,306,306,306,306,306
"Delvin, Westmeath",416,416,416,416,416,416,416,416,697,697,697,697,697,697,697
"Derrinturn, Kildare",1138,1138,1138,1138,1138,1138,1138,1138,1541,1541,1541,1541,1541,1541,1541
"Donabate, Fingal",5499,5499,5499,5499,5499,5499,5499,5499,6778,6778,6778,6778,6778,6778,6778
"Donard, Wicklow",182,182,182,182,182,182,182,182,187,187,187,187,187,187,187
"Donaskeigh, South Tipperary",147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
"Donegal, Donegal",2339,2339,2339,2339,2339,2339,2339,2339,2607,2607,2607,2607,2607,2607,2607
"Doneraile, Cork",759,759,759,759,759,759,759,759,757,757,757,757,757,757,757
"Donore, Meath",728,728,728,728,728,728,728,728,692,692,692,692,692,692,692
"Doohamlat, Monaghan",243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
"Doon, Limerick",439,439,439,439,439,439,439,439,509,509,509,509,509,509,509
"Doonbeg, Clare",228,228,228,228,228,228,228,228,272,272,272,272,272,272,272
"Drangan, South Tipperary",136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
"Drimoleague, Cork",436,436,436,436,436,436,436,436,468,468,468,468,468,468,468
"Drogheda Borough, Louth",28973,28973,28973,28973,28973,28973,28973,28973,30393,30393,30393,30393,30393,30393,30393
"Drogheda Environs, Louth and Meath",6117,6117,6117,6117,6117,6117,6117,6117,8185,8185,8185,8185,8185,8185,8185
"Droichead Nua (Newbridge), Legal Town, Kildare",17042,17042,17042,17042,17042,17042,17042,17042,17127,17127,17127,17127,17127,17127,17127
"Droichead Nua (Newbridge), Environs, Kildare",1478,1478,1478,1478,1478,1478,1478,1478,4434,4434,4434,4434,4434,4434,4434
"Dromahair, Leitrim",503,503,503,503,503,503,503,503,748,748,748,748,748,748,748
"Dromina, Cork",213,213,213,213,213,213,213,213,269,269,269,269,269,269,269
"Dromineer, North Tipperary",118,118,118,118,118,118,118,118,113,113,113,113,113,113,113
"Dromiskin, Louth",992,992,992,992,992,992,992,992,1115,1115,1115,1115,1115,1115,1115
"Drommahane, Cork",801,801,801,801,801,801,801,801,872,872,872,872,872,872,872
"Dromore West, Sligo",218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
"Drumcollogher, Limerick",524,524,524,524,524,524,524,524,548,548,548,548,548,548,548
"Drumconrath, Meath",405,405,405,405,405,405,405,405,370,370,370,370,370,370,370
"Drumkeen, Donegal",151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
"Drumkeeran, Leitrim",249,249,249,249,249,249,249,249,252,252,252,252,252,252,252
"Drumlish, Longford",429,429,429,429,429,429,429,429,835,835,835,835,835,835,835
"Drumod, Leitrim",210,210,210,210,210,210,210,210,432,432,432,432,432,432,432
"Drumshanbo, Leitrim",665,665,665,665,665,665,665,665,857,857,857,857,857,857,857
"Drumsna, Leitrim",217,217,217,217,217,217,217,217,247,247,247,247,247,247,247
"Duagh, Kerry",209,209,209,209,209,209,209,209,209,209,209,209,209,209,209
"Dublin City, Dublin",506211,506211,506211,506211,506211,506211,506211,506211,527612,527612,527612,527612,527612,527612,527612
"Dublin Greater Suburbs, Dublin",539558,539558,539558,539558,539558,539558,539558,539558,583015,583015,583015,583015,583015,583015,583015
"Dublin Suburbs in Dún Laoghaire-Rathdown, Dublin",188761,188761,188761,188761,188761,188761,188761,188761,201074,201074,201074,201074,201074,201074,201074
"Dublin Suburbs in Fingal, Dublin",114623,114623,114623,114623,114623,114623,114623,114623,130436,130436,130436,130436,130436,130436,130436
"Dublin Suburbs in South Dublin, Dublin",236174,236174,236174,236174,236174,236174,236174,236174,251505,251505,251505,251505,251505,251505,251505
"Duleek, Meath",3236,3236,3236,3236,3236,3236,3236,3236,3988,3988,3988,3988,3988,3988,3988
"Dunboyne, Meath",5713,5713,5713,5713,5713,5713,5713,5713,6959,6959,6959,6959,6959,6959,6959
"Duncannon, Wexford",291,291,291,291,291,291,291,291,328,328,328,328,328,328,328
"Dundalk Legal Town, Louth",29037,29037,29037,29037,29037,29037,29037,29037,31149,31149,31149,31149,31149,31149,31149
"Dundalk Environs, Louth",6048,6048,6048,6048,6048,6048,6048,6048,6667,6667,6667,6667,6667,6667,6667
"Dundalk Legal Town and Environs, Louth",35085,35085,35085,35085,35085,35085,35085,35085,37816,37816,37816,37816,37816,37816,37816
"Dunderrow, Cork",197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
"Dunderry, Meath",186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
"Dundrum, South Tipperary",191,191,191,191,191,191,191,191,220,220,220,220,220,220,220
"Dunfanaghy, Donegal",316,316,316,316,316,316,316,316,312,312,312,312,312,312,312
"Dungarvan Legal Town, Waterford",7813,7813,7813,7813,7813,7813,7813,7813,7991,7991,7991,7991,7991,7991,7991
"Dungarvan Environs, Waterford",549,549,549,549,549,549,549,549,1436,1436,1436,1436,1436,1436,1436
"Dunhill, Waterford",177,177,177,177,177,177,177,177,209,209,209,209,209,209,209
"Dunkineely, Donegal",363,363,363,363,363,363,363,363,375,375,375,375,375,375,375
"Dunlavin, Wicklow",849,849,849,849,849,849,849,849,830,830,830,830,830,830,830
"Dunleer, Louth",1449,1449,1449,1449,1449,1449,1449,1449,1786,1786,1786,1786,1786,1786,1786
"Dunmanway, Cork",1522,1522,1522,1522,1522,1522,1522,1522,1585,1585,1585,1585,1585,1585,1585
"Dunmore, Galway",614,614,614,614,614,614,614,614,577,577,577,577,577,577,577
"Dunmore East, Waterford",1547,1547,1547,1547,1547,1547,1547,1547,1559,1559,1559,1559,1559,1559,1559
"Dunshaughlin, Meath",3384,3384,3384,3384,3384,3384,3384,3384,3903,3903,3903,3903,3903,3903,3903
"Durrow, Laois",811,811,811,811,811,811,811,811,843,843,843,843,843,843,843
"Durrus, Cork",313,313,313,313,313,313,313,313,334,334,334,334,334,334,334
"Easky, Sligo",240,240,240,240,240,240,240,240,245,245,245,245,245,245,245
"Edenderry Legal Town, Offaly",5475,5475,5475,5475,5475,5475,5475,5475,6490,6490,6490,6490,6490,6490,6490
"Edenderry Environs, Offaly",413,413,413,413,413,413,413,413,487,487,487,487,487,487,487
"Edenderry Legal Town and Environs, Offaly",5888,5888,5888,5888,5888,5888,5888,5888,6977,6977,6977,6977,6977,6977,6977
"Edenderry, Offaly",5888,5888,5888,5888,5888,5888,5888,5888,6977,6977,6977,6977,6977,6977,6977
"Elphin, Roscommon",591,591,591,591,591,591,591,591,613,613,613,613,613,613,613
"Emly, South Tipperary",293,293,293,293,293,293,293,293,348,348,348,348,348,348,348
"Emo, Laois",225,225,225,225,225,225,225,225,245,245,245,245,245,245,245
"Emyvale, Monaghan",683,683,683,683,683,683,683,683,696,696,696,696,696,696,696
"Enfield, Meath",2161,2161,2161,2161,2161,2161,2161,2161,2929,2929,2929,2929,2929,2929,2929
"Ennis Legal Town, Clare",19998,19998,19998,19998,19998,19998,19998,19998,20180,20180,20180,20180,20180,20180,20180
"Ennis Environs, Clare",4255,4255,4255,4255,4255,4255,4255,4255,5180,5180,5180,5180,5180,5180,5180
"Enniscorthy Legal Town, Wexford",3241,3241,3241,3241,3241,3241,3241,3241,2842,2842,2842,2842,2842,2842,2842
"Enniscorthy Environs, Wexford",6297,6297,6297,6297,6297,6297,6297,6297,7996,7996,7996,7996,7996,7996,7996
"Enniscorthy Legal Town and Environs, Wexford",9538,9538,9538,9538,9538,9538,9538,9538,10838,10838,10838,10838,10838,10838,10838
"Enniscorthy, Wexford",9538,9538,9538,9538,9538,9538,9538,9538,10838,10838,10838,10838,10838,10838,10838
"Enniskerry, Wicklow",1881,1881,1881,1881,1881,1881,1881,1881,1811,1811,1811,1811,1811,1811,1811
"Ennistymon, Clare",813,813,813,813,813,813,813,813,957,957,957,957,957,957,957
"Erril, Laois",158,158,158,158,158,158,158,158,196,196,196,196,196,196,196
"Eyrecourt, Galway",292,292,292,292,292,292,292,292,264,264,264,264,264,264,264
"Fahan, Donegal",417,417,417,417,417,417,417,417,569,569,569,569,569,569,569
"Farran, Cork",338,338,338,338,338,338,338,338,335,335,335,335,335,335,335
"Feakle, Clare",122,122,122,122,122,122,122,122,113,113,113,113,113,113,113
"Fedamore, Limerick",215,215,215,215,215,215,215,215,298,298,298,298,298,298,298
"Fenit, Kerry",435,435,435,435,435,435,435,435,527,527,527,527,527,527,527
"Fennagh, Carlow",384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
"Ferbane, Offaly",1164,1164,1164,1164,1164,1164,1164,1164,1165,1165,1165,1165,1165,1165,1165
"Fermoy Legal Town, Cork",2275,2275,2275,2275,2275,2275,2275,2275,2223,2223,2223,2223,2223,2223,2223
"Fermoy Environs, Cork",3598,3598,3598,3598,3598,3598,3598,3598,4266,4266,4266,4266,4266,4266,4266
"Ferns, Wexford",954,954,954,954,954,954,954,954,1362,1362,1362,1362,1362,1362,1362
"Fethard, South Tipperary",1374,1374,1374,1374,1374,1374,1374,1374,1541,1541,1541,1541,1541,1541,1541
"Fethard-on-Sea, Wexford",326,326,326,326,326,326,326,326,321,321,321,321,321,321,321
"Fiddown, Kilkenny",194,194,194,194,194,194,194,194,366,366,366,366,366,366,366
"Fieries, Kerry",491,491,491,491,491,491,491,491,491,491,491,491,491,491,491
"Fountainstown, Cork",887,887,887,887,887,887,887,887,894,894,894,894,894,894,894
"Foxford, Mayo",1058,1058,1058,1058,1058,1058,1058,1058,1326,1326,1326,1326,1326,1326,1326
"Foynes, Limerick",606,606,606,606,606,606,606,606,542,542,542,542,542,542,542
"Freemount, Cork",123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
"Frenchpark, Roscommon",454,454,454,454,454,454,454,454,420,420,420,420,420,420,420
"Freshford, Kilkenny",734,734,734,734,734,734,734,734,685,685,685,685,685,685,685
"Galbally, Limerick",257,257,257,257,257,257,257,257,238,238,238,238,238,238,238
"Galway City, Galway",72414,72414,72414,72414,72414,72414,72414,72414,75529,75529,75529,75529,75529,75529,75529
"Galway Suburbs, Galway",315,315,315,315,315,315,315,315,1249,1249,1249,1249,1249,1249,1249
"Galway City and Suburbs, Galway",72729,72729,72729,72729,72729,72729,72729,72729,76778,76778,76778,76778,76778,76778,76778
"Garristown, Fingal",257,257,257,257,257,257,257,257,433,433,433,433,433,433,433
"Geashill, Offaly",328,328,328,328,328,328,328,328,375,375,375,375,375,375,375
"Glanworth, Cork",432,432,432,432,432,432,432,432,547,547,547,547,547,547,547
"Glassan, Westmeath",166,166,166,166,166,166,166,166,198,198,198,198,198,198,198
"Glasslough, Monaghan",290,290,290,290,290,290,290,290,348,348,348,348,348,348,348
"Glen, Limerick",420,420,420,420,420,420,420,420,455,455,455,455,455,455,455
"Glenamaddy, Galway",502,502,502,502,502,502,502,502,500,500,500,500,500,500,500
"Gleann Cholm Cille, Donegal",238,238,238,238,238,238,238,238,212,212,212,212,212,212,212
"Glenbeigh, Kerry",280,280,280,280,280,280,280,280,285,285,285,285,285,285,285
"Glencullen, Dún Laoghaire- Rathdown",189,189,189,189,189,189,189,189,268,268,268,268,268,268,268
"Glenealy, Wicklow",528,528,528,528,528,528,528,528,670,670,670,670,670,670,670
"Gleneely, Donegal",166,166,166,166,166,166,166,166,208,208,208,208,208,208,208
"Glenties, Donegal",811,811,811,811,811,811,811,811,869,869,869,869,869,869,869
"Glenville, Cork",489,489,489,489,489,489,489,489,489,489,489,489,489,489,489
"Glin, Limerick",566,566,566,566,566,566,566,566,577,577,577,577,577,577,577
"Gneevgullia, Kerry",233,233,233,233,233,233,233,233,256,256,256,256,256,256,256
"Gob an Choire, Mayo",302,302,302,302,302,302,302,302,275,275,275,275,275,275,275
"Golden, South Tipperary",255,255,255,255,255,255,255,255,269,269,269,269,269,269,269
"Goresbridge, Kilkenny",376,376,376,376,376,376,376,376,361,361,361,361,361,361,361
"Gorey Legal Town, Wexford",3479,3479,3479,3479,3479,3479,3479,3479,3463,3463,3463,3463,3463,3463,3463
"Gorey Environs, Wexford",3714,3714,3714,3714,3714,3714,3714,3714,5651,5651,5651,5651,5651,5651,5651
"Gormanston, Meath",355,355,355,355,355,355,355,355,500,500,500,500,500,500,500
"Gort, Galway",2734,2734,2734,2734,2734,2734,2734,2734,2644,2644,2644,2644,2644,2644,2644
"Gort an Choirce, Donegal",149,149,149,149,149,149,149,149,197,197,197,197,197,197,197
"Gortnahoo, South Tipperary",219,219,219,219,219,219,219,219,304,304,304,304,304,304,304
"Gowran, Kilkenny",487,487,487,487,487,487,487,487,742,742,742,742,742,742,742
"Grahormac, Wexford",309,309,309,309,309,309,309,309,466,466,466,466,466,466,466
"Graiguenamanagh-Tinnahinch, Carlow and Kilkenny",1376,1376,1376,1376,1376,1376,1376,1376,1543,1543,1543,1543,1543,1543,1543
"Granard Legal Town, Longford",933,933,933,933,933,933,933,933,1021,1021,1021,1021,1021,1021,1021
"Grange, Sligo",383,383,383,383,383,383,383,383,578,578,578,578,578,578,578
"Grangemore, Kildare",189,189,189,189,189,189,189,189,215,215,215,215,215,215,215
"Greencastle, Donegal",530,530,530,530,530,530,530,530,817,817,817,817,817,817,817
"Grenagh, Cork",562,562,562,562,562,562,562,562,562,562,562,562,562,562,562
"Greystones Legal Town, Wicklow",10112,10112,10112,10112,10112,10112,10112,10112,10173,10173,10173,10173,10173,10173,10173
"Greystones Environs, Wicklow",4457,4457,4457,4457,4457,4457,4457,4457,7295,7295,7295,7295,7295,7295,7295
"Gurteen, Sligo",269,269,269,269,269,269,269,269,349,349,349,349,349,349,349
"Hacketstown, Carlow",606,606,606,606,606,606,606,606,600,600,600,600,600,600,600
"Halfway, Cork",201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
"Headford, Galway",760,760,760,760,760,760,760,760,889,889,889,889,889,889,889
"Holycross, North Tipperary and South Tipperary",700,700,700,700,700,700,700,700,714,714,714,714,714,714,714
"Hospital, Limerick",628,628,628,628,628,628,628,628,630,630,630,630,630,630,630
"Inagh, Clare",170,170,170,170,170,170,170,170,204,204,204,204,204,204,204
"Inchigeelagh, Cork",166,166,166,166,166,166,166,166,160,160,160,160,160,160,160
"Inistioge, Kilkenny",263,263,263,263,263,263,263,263,260,260,260,260,260,260,260
"Inniscrone, Sligo",829,829,829,829,829,829,829,829,1223,1223,1223,1223,1223,1223,1223
"Innishannon, Cork",678,678,678,678,678,678,678,678,767,767,767,767,767,767,767
"Inniskeen, Monaghan",292,292,292,292,292,292,292,292,265,265,265,265,265,265,265
"Jenkinstown, Louth",237,237,237,237,237,237,237,237,323,323,323,323,323,323,323
"Johnstown, Kildare",899,899,899,899,899,899,899,899,1004,1004,1004,1004,1004,1004,1004
"Johnstown, Kilkenny",445,445,445,445,445,445,445,445,472,472,472,472,472,472,472
"Johnstownbridge, Kildare",535,535,535,535,535,535,535,535,650,650,650,650,650,650,650
"Julianstown/Whitecross, Meath",615,615,615,615,615,615,615,615,616,616,616,616,616,616,616
"Kanturk, Cork",1915,1915,1915,1915,1915,1915,1915,1915,2263,2263,2263,2263,2263,2263,2263
"Keadew, Roscommon",219,219,219,219,219,219,219,219,187,187,187,187,187,187,187
"Keel-Dooagh, Mayo",561,561,561,561,561,561,561,561,582,582,582,582,582,582,582
"Keenagh, Longford",241,241,241,241,241,241,241,241,498,498,498,498,498,498,498
Kells (see Ceannanus Mór),2257,2257,2257,2257,2257,2257,2257,2257,2208,2208,2208,2208,2208,2208,2208
"Kells (Ceanannas) Environs, Meath",2991,2991,2991,2991,2991,2991,2991,2991,3680,3680,3680,3680,3680,3680,3680
"Kells, Kilkenny",268,268,268,268,268,268,268,268,281,281,281,281,281,281,281
"Kenmare, Kerry",1701,1701,1701,1701,1701,1701,1701,1701,2175,2175,2175,2175,2175,2175,2175
"Kentstown, Meath",912,912,912,912,912,912,912,912,1099,1099,1099,1099,1099,1099,1099
"Kernanstown, Carlow",230,230,230,230,230,230,230,230,221,221,221,221,221,221,221
"Kilbeggan, Westmeath",822,822,822,822,822,822,822,822,1199,1199,1199,1199,1199,1199,1199
"Kilberry, Kildare",421,421,421,421,421,421,421,421,408,408,408,408,408,408,408
"Kilbrin, Cork",174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
"Kilbrittain, Cork",185,185,185,185,185,185,185,185,196,196,196,196,196,196,196
"Kilcloon, Meath",281,281,281,281,281,281,281,281,264,264,264,264,264,264,264
"Kilcock, Kildare",4100,4100,4100,4100,4100,4100,4100,4100,5533,5533,5533,5533,5533,5533,5533
"Kilcoole, Wicklow",3252,3252,3252,3252,3252,3252,3252,3252,4049,4049,4049,4049,4049,4049,4049
"Kilcormac (Frankford), Offaly",847,847,847,847,847,847,847,847,870,870,870,870,870,870,870
"Kilcrohane, Cork",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
"Kilcullen, Kildare",2985,2985,2985,2985,2985,2985,2985,2985,3473,3473,3473,3473,3473,3473,3473
"Kilcummin, Kerry",368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
"Kildalkey, Meath",518,518,518,518,518,518,518,518,663,663,663,663,663,663,663
"Kildangan, Kildare",299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
"Kildare, Kildare",7538,7538,7538,7538,7538,7538,7538,7538,8142,8142,8142,8142,8142,8142,8142
"Kildavin, Carlow",170,170,170,170,170,170,170,170,194,194,194,194,194,194,194
"Kildimo, Limerick",409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
"Kildorrery, Cork",213,213,213,213,213,213,213,213,301,301,301,301,301,301,301
"Kildrum, Donegal",542,542,542,542,542,542,542,542,581,581,581,581,581,581,581
"Kildysart, Clare",311,311,311,311,311,311,311,311,378,378,378,378,378,378,378
"Kilfenora, Clare",169,169,169,169,169,169,169,169,220,220,220,220,220,220,220
"Kilfinane, Limerick",727,727,727,727,727,727,727,727,778,778,778,778,778,778,778
"Kilflynn, Kerry",126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
"Kilgarvan, Kerry",164,164,164,164,164,164,164,164,181,181,181,181,181,181,181
"Kilkee Legal Town, Clare",1325,1325,1325,1325,1325,1325,1325,1325,1037,1037,1037,1037,1037,1037,1037
"Kilkee Environs, Clare",102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
"Kilkee Legal Town and Environs, Clare",1325,1325,1325,1325,1325,1325,1325,1325,1139,1139,1139,1139,1139,1139,1139
"Kilkelly, Mayo",389,389,389,389,389,389,389,389,372,372,372,372,372,372,372
"Kilkenny Borough, Kilkenny",8661,8661,8661,8661,8661,8661,8661,8661,8711,8711,8711,8711,8711,8711,8711
"Kilkenny Environs, Kilkenny",13518,13518,13518,13518,13518,13518,13518,13518,15712,15712,15712,15712,15712,15712,15712
"Kilkishen, Clare",443,443,443,443,443,443,443,443,520,520,520,520,520,520,520
"Kill, Kildare",2510,2510,2510,2510,2510,2510,2510,2510,3095,3095,3095,3095,3095,3095,3095
"Kill, Waterford",194,194,194,194,194,194,194,194,281,281,281,281,281,281,281
"Killala, Mayo",569,569,569,569,569,569,569,569,574,574,574,574,574,574,574
"Killaloe, Clare",1035,1035,1035,1035,1035,1035,1035,1035,1292,1292,1292,1292,1292,1292,1292
"Killarney Legal Town, Kerry",13497,13497,13497,13497,13497,13497,13497,13497,12740,12740,12740,12740,12740,12740,12740
"Killarney Environs, Kerry",1106,1106,1106,1106,1106,1106,1106,1106,1479,1479,1479,1479,1479,1479,1479
"Killashee, Longford",208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
"Killavullen, Cork",214,214,214,214,214,214,214,214,257,257,257,257,257,257,257
"Killeagh, Cork",521,521,521,521,521,521,521,521,721,721,721,721,721,721,721
"Killeigh, Offaly",159,159,159,159,159,159,159,159,197,197,197,197,197,197,197
"Killenard, Laois",622,622,622,622,622,622,622,622,622,622,622,622,622,622,622
"Killenaule, South Tipperary",597,597,597,597,597,597,597,597,713,713,713,713,713,713,713
"Killeshandra, Cavan",411,411,411,411,411,411,411,411,364,364,364,364,364,364,364
"Killimor, Galway",318,318,318,318,318,318,318,318,335,335,335,335,335,335,335
"Killinierin, Wexford",217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
"Killorglin, Kerry",1627,1627,1627,1627,1627,1627,1627,1627,2082,2082,2082,2082,2082,2082,2082
